id,site,site_name,site_cur,country_id
1,GDNP1,DI,EUR,8
2,GBIP1,LPP,IDR,7
3,GWDP1,RCD,EUR,8
4,GDSP1,DES,TZS,17
5,GDN1P0,RABC,EUR,8
6,GPARPK,DGBL,GBP,19
7,GACP2,AC,GHS,6
8,GKYP1,RBBV,EUR,12
9,GGHSP1,GS,GHS,6
10,GKAP2,KS,GHS,6
11,GMHP1,MS,TZS,17
12,GSEP7,SB,ETB,5
13,GPDP1,DPP,USD,20
14,GSXP1,SCD,USD,20
15,GDAP1,DB,XAF,2
16,GLAP2,OB,NGN,13
17,GUGP1,UBL,UGX,18
18,GBFP8,SBPL,GBP,19
19,GKBP1,KBK-KBL,KES,10
20,GBEP2,BB,NGN,13
21,GSEP6,DBDC,USD,20
22,GAHP1,DAP,CAD,3
23,GLNDP1,LDS,GBP,19
24,GKKDP1,KDS,GBP,19
25,GVFP1,DVP,CAD,3
26,GBSP4,DO NOT USE,GBP,19
27,GUDP1,KB-UDV,KES,10
28,GLHP1,DLP,USD,20
29,GMAP6,MWZ,TZS,17
30,GABP1,AB,NGN,13
31,GHGP1,DSH,AUD,1
32,GNGSP1,N-SIT,NGN,13
33,GAOP2,PV,MXN,11
34,GSHDP1,SDS,GBP,19
35,GBFP3,IBC,GBP,19
36,GRYP1,DRP,USD,20
37,GDKP2,KF,EUR,8
38,GMAP8,MP,SCR,14
39,GMASP2,M-SIT,SCR,14
40,GAOP3,EC,MXN,11
41,GKSP1,KBK,KES,10
42,GKSP2,UDV-LK,KES,10
43,GSWP2,DSW-UDM,USD,20
44,GINP3,DK,KRW,16
45,GDKP1,DP,EUR,8
46,GLNP5,LBD,USD,20
47,GSNP1,Donot Use,USD,20
48,GBBP1,BD,AUD,1
49,GTGP1,DT-CHDC,USD,20
50,GDRP1,DV,CAD,3
51,GGMP1,DGP,CAD,3
52,GISP2,IPD,ZAR,15
53,GJBP3,LR-N,ZAR,15
54,GSVP2,SV,EUR,9
55,GEMP1,EAME,KES,10
56,GAOP4,LC,MXN,11
57,GAEP3,RGA,GBP,19
58,GMLP2,ML,KES,10
59,GUGSP1,UBL-SIT,UGX,18
60,GAHP2,AS,GHS,6
61,GRUNPC,DRP,GBP,19
62,GCEP3,CB-SSS,GBP,19
63,GDIP3,DD,CNY,4
64,GIDSP1,SIT-LKJ,IDR,7
65,GTZSP1,TZ-SIT,TZS,17
66,GDNP2,DB-EW,EUR,8
67,GBGP6,BG-SSS,GBP,19
68,GMPP1,DV-DC,USD,20
69,GUGP2,SD-UBL,UGX,18
70,GKBSP1,SIT-IKBK,KES,10
71,GDSP4,IPB,TZS,17
72,GGNP4,GEC,GBP,19
