id,item_no,site,average_issue_6,average_issue_12,average_quantity_6,aveverage_quantity_12,maximum_quantity,calculated_maximum,movement_status
1,607122,GKBP1,2,3,25000,50000,20000,25000,Medium
2,62044832,GUGP1,1,1,5,10,10,10,Slow
3,62044834,GUGP1,1,1,1,2,4,4,Slow
4,6210795358,GUGP2,1,1,2,4,8,8,Slow
5,6210795578,GUGP2,1,1,15,30,60,60,Slow
6,6210922260,GMAP6,0,0,0,0,0,0,No Mover
7,6210968858,GUGP1,0,0,0,0,0,0,No Mover
8,6210978114,GMAP8,7,13,9,18,5,9,Fast
9,6210978116,GMAP8,5,9,6,12,4,6,Fast
10,6210978118,GMAP8,2,4,4,7,5,5,Medium
11,6210978120,GMAP8,14,27,36,72,22,36,Fast
12,6210978122,GMAP8,9,18,14,28,7,14,Fast
13,6210978124,GMAP8,11,21,15,29,6,15,Fast
14,6210978126,GMAP8,4,8,6,12,6,6,Fast
15,6210978128,GMAP8,34,68,87,173,42,87,Fast
16,6602017208,GEMP1,0,0,0,0,25,25,No Mover
17,100010566,GHGP1,2,3,35,70,40,40,Medium
18,100023934,GHGP1,1,1,1,1,1,1,Slow
19,100026758,GHGP1,1,1,1,1,1,1,Slow
20,100029358,GHGP1,1,1,1,1,1,1,Slow
21,100035890,GHGP1,1,1,1,1,1,1,Slow
22,100063072,GHGP1,1,1,1,1,1,1,Slow
23,100070224,GHGP1,1,1,1,2,2,2,Slow
24,100070794,GHGP1,1,1,4,7,12,12,Slow
25,100070826,GHGP1,1,2,4,7,12,12,Slow
26,100070844,GHGP1,1,1,1,1,1,1,Slow
27,100070846,GHGP1,1,1,1,1,2,2,Slow
28,100070870,GHGP1,1,1,1,1,1,1,Slow
29,100070894,GHGP1,1,1,1,1,1,1,Slow
30,100070920,GHGP1,0,0,0,0,0,0,No Mover
31,100070988,GHGP1,2,3,2,3,1,2,Medium
32,100071768,GHGP1,1,1,5,10,20,20,Slow
33,100071770,GHGP1,0,0,0,0,0,0,No Mover
34,100072870,GHGP1,1,1,1,1,1,1,Slow
35,100076216,GHGP1,1,1,1,1,1,1,Slow
36,100098958,GHGP1,0,0,0,0,0,0,No Mover
37,100101120,GHGP1,0,0,0,0,0,0,No Mover
38,100103354,GLAP2,1,1,1,1,2,2,Slow
39,100103426,GBEP2,0,0,0,0,1,1,No Mover
