sid,customer_group,fm_cur,to_cur,rate
1,NULL,AUD,GBP,1.93
2,NULL,AUD,USD,1.47
3,NULL,GHS,GBP,20.8
4,NULL,GHS,USD,18.81
5,NULL,KES,GBP,168.71
6,NULL,KES,USD,128.5
7,NULL,NGN,GBP,2175.33
8,NULL,NGN,USD,1656.86
9,NULL,SCR,GBP,19.21
10,NULL,SCR,USD,14.64
11,NULL,TZS,GBP,3564.58
12,NULL,TZS,USD,2715
13,NULL,UGX,GBP,4806.48
14,NULL,UGX,USD,3660.9
15,NULL,ZAR,GBP,22.95
16,NULL,ZAR,USD,17.48
17,NULL,USD,GBP,1.31
18,NULL,USD,USD,1
19,NULL,GBP,USD,0.762
20,NULL,GBP,GBP,1
21,NULL,EUR,USD,0.91
22,NULL,EUR,GBP,1.2
